"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 16:43:21 GMT 2024","Wed Jan 17 16:43:26 GMT 2024","4308","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Wed Jan 17 16:43:22 GMT 2024","Wed Jan 17 16:43:26 GMT 2024","4081","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name You Don't Know JS is present on page",""
"passed","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:18 GMT 2024","700","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"passed","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:18 GMT 2024","618","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Wed Jan 17 16:43:26 GMT 2024","Wed Jan 17 16:43:33 GMT 2024","6702","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Book Content Test",""
"passed","Wed Jan 17 16:43:18 GMT 2024","Wed Jan 17 16:43:21 GMT 2024","3279","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Git Pocket Guide is present on page",""
"passed","Wed Jan 17 16:43:26 GMT 2024","Wed Jan 17 16:43:30 GMT 2024","3862","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"passed","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:22 GMT 2024","4336","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Have correct title",""
"passed","Wed Jan 17 16:43:26 GMT 2024","Wed Jan 17 16:43:30 GMT 2024","4222","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Mock book list test",""
"passed","Wed Jan 17 16:43:18 GMT 2024","Wed Jan 17 16:43:26 GMT 2024","8483","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","BooksPage test",""
"passed","Wed Jan 17 16:43:18 GMT 2024","Wed Jan 17 16:43:22 GMT 2024","3845","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
"skipped","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:17 GMT 2024","0","chromium","example.spec.ts","Example of tests without Page Object","","","BookPage count test",""
"passed","Wed Jan 17 16:43:26 GMT 2024","Wed Jan 17 16:43:30 GMT 2024","4170","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"skipped","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:17 GMT 2024","1","chromium","example.spec.ts","Example of tests without Page Object","","","BooksPage test",""
"passed","Wed Jan 17 16:43:18 GMT 2024","Wed Jan 17 16:43:22 GMT 2024","4155","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","BookPage count test",""
"passed","Wed Jan 17 16:43:22 GMT 2024","Wed Jan 17 16:43:26 GMT 2024","4324","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Speaking JavaScript is present on page",""
"failed","Wed Jan 17 16:43:47 GMT 2024","Wed Jan 17 16:43:55 GMT 2024","8098","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Failing test",""
"passed","Wed Jan 17 16:43:22 GMT 2024","Wed Jan 17 16:43:26 GMT 2024","3966","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Programming JavaScript Applications is present on page",""
"skipped","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:17 GMT 2024","0","chromium","example.spec.ts","Example of tests without Page Object","","","Have correct title",""
"skipped","Wed Jan 17 16:43:17 GMT 2024","Wed Jan 17 16:43:17 GMT 2024","1","setup","global.setup.ts","","","","Setup",""
